,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44,0.009192514419555663,6.424491994259381e-05,0.009174966812133789,0.001027241366473865,gini,45,"{'criterion': 'gini', 'max_depth': 45}",0.8273921200750468,0.8590225563909775,0.8533834586466166,0.8383458646616542,0.8421052631578947,0.8440498525864379,0.011181189740075195,112
45,0.009937047958374023,0.0008293562086490706,0.00845341682434082,0.00048687444903765774,gini,46,"{'criterion': 'gini', 'max_depth': 46}",0.8348968105065666,0.8571428571428571,0.8515037593984961,0.8402255639097744,0.8421052631578947,0.8451748508231178,0.008035473615892843,82
46,0.009550094604492188,0.00029940680725347386,0.008839225769042969,0.00031575199615023003,gini,47,"{'criterion': 'gini', 'max_depth': 47}",0.8292682926829268,0.8590225563909775,0.8533834586466166,0.8364661654135339,0.8402255639097744,0.8436732074087658,0.010965589464828345,128
47,0.011689376831054688,0.0032564921061093255,0.009145975112915039,0.0016880609413667468,gini,48,"{'criterion': 'gini', 'max_depth': 48}",0.8330206378986866,0.8571428571428571,0.8533834586466166,0.8402255639097744,0.8421052631578947,0.8451755561511659,0.00885728080597401,76
48,0.012037038803100586,0.005845855011151584,0.009556293487548828,0.0022914331570179653,gini,49,"{'criterion': 'gini', 'max_depth': 49}",0.8292682926829268,0.8590225563909775,0.849624060150376,0.8383458646616542,0.8402255639097744,0.8432972675591419,0.010179164046005041,133
49,0.010160255432128906,0.002134277041340952,0.008273458480834961,0.00016111068049793202,gini,50,"{'criterion': 'gini', 'max_depth': 50}",0.8255159474671669,0.8590225563909775,0.849624060150376,0.8383458646616542,0.8402255639097744,0.8425467985159898,0.011266091536904515,140
50,0.011563587188720702,0.004906806156601839,0.008321619033813477,0.00020629562655481438,gini,51,"{'criterion': 'gini', 'max_depth': 51}",0.8330206378986866,0.8590225563909775,0.8515037593984961,0.8383458646616542,0.8439849624060151,0.8451755561511659,0.009247592216498486,76
51,0.009483098983764648,0.00048127181700314083,0.00827789306640625,4.9916219284011984e-05,gini,52,"{'criterion': 'gini', 'max_depth': 52}",0.8292682926829268,0.8609022556390977,0.8515037593984961,0.8383458646616542,0.8402255639097744,0.8440491472583899,0.011001994257718278,113
52,0.00982818603515625,0.0005402467066861139,0.008338212966918945,0.00014709533682870702,gini,53,"{'criterion': 'gini', 'max_depth': 53}",0.8348968105065666,0.8590225563909775,0.8533834586466166,0.8383458646616542,0.8402255639097744,0.8451748508231178,0.009337117302324548,82
53,0.011696386337280273,0.004307984062562836,0.008719587326049804,0.0003976448702510826,gini,54,"{'criterion': 'gini', 'max_depth': 54}",0.8348968105065666,0.8590225563909775,0.8515037593984961,0.8364661654135339,0.8421052631578947,0.8447989109734937,0.00918704590326175,99
54,0.009389209747314452,0.00047982006249957317,0.008258438110351563,0.0001575140884056815,gini,55,"{'criterion': 'gini', 'max_depth': 55}",0.8367729831144465,0.8590225563909775,0.8515037593984961,0.8383458646616542,0.8421052631578947,0.8455500853446939,0.008458827695853394,66
55,0.01198124885559082,0.0038170508574689936,0.008150386810302734,7.615425315046251e-05,gini,56,"{'criterion': 'gini', 'max_depth': 56}",0.8348968105065666,0.8552631578947367,0.8515037593984961,0.8383458646616542,0.8421052631578947,0.8444229711238697,0.007754971838668008,110
56,0.010300445556640624,0.0023550263017377182,0.008439970016479493,0.000596474310848918,gini,57,"{'criterion': 'gini', 'max_depth': 57}",0.8255159474671669,0.8590225563909775,0.8533834586466166,0.8402255639097744,0.8402255639097744,0.8436746180648619,0.011690595051657695,124
57,0.009168291091918945,6.014324979228116e-05,0.008813905715942382,0.0004161978399207348,gini,58,"{'criterion': 'gini', 'max_depth': 58}",0.8348968105065666,0.8552631578947367,0.849624060150376,0.8383458646616542,0.8421052631578947,0.8440470312742455,0.00744184186490884,123
58,0.010274171829223633,0.0015461807901124547,0.009224700927734374,0.0014308185120731466,gini,59,"{'criterion': 'gini', 'max_depth': 59}",0.8330206378986866,0.8571428571428571,0.8533834586466166,0.8364661654135339,0.8421052631578947,0.8444236764519178,0.009389159331905973,106
59,0.00944218635559082,0.0004722782980185893,0.009450483322143554,0.0016947988772212344,gini,60,"{'criterion': 'gini', 'max_depth': 60}",0.8292682926829268,0.8609022556390977,0.8515037593984961,0.8383458646616542,0.8402255639097744,0.8440491472583899,0.011001994257718278,113
60,0.009987688064575196,0.0012182730611983137,0.010457992553710938,0.0046184802798991155,gini,61,"{'criterion': 'gini', 'max_depth': 61}",0.8348968105065666,0.8590225563909775,0.8515037593984961,0.8402255639097744,0.8421052631578947,0.845550790672742,0.008610032538041714,63
61,0.012661504745483398,0.004043939393901799,0.01085200309753418,0.0025619183969493847,gini,62,"{'criterion': 'gini', 'max_depth': 62}",0.8273921200750468,0.8571428571428571,0.8515037593984961,0.8402255639097744,0.8421052631578947,0.8436739127368138,0.010219271065723803,127
62,0.00928654670715332,0.0004147239092899656,0.010634899139404297,0.005008034063405855,gini,63,"{'criterion': 'gini', 'max_depth': 63}",0.8311444652908068,0.8590225563909775,0.8533834586466166,0.8383458646616542,0.8421052631578947,0.8448003216295898,0.01011284302185442,90
63,0.01155552864074707,0.0036177385039474663,0.00926194190979004,0.0008211853663873822,gini,64,"{'criterion': 'gini', 'max_depth': 64}",0.8330206378986866,0.8571428571428571,0.8515037593984961,0.8402255639097744,0.8421052631578947,0.8447996163015418,0.008534951147972626,94
64,0.009458446502685547,0.00037422691156046553,0.008864450454711913,0.00033954604075682595,gini,65,"{'criterion': 'gini', 'max_depth': 65}",0.8367729831144465,0.8571428571428571,0.8533834586466166,0.8383458646616542,0.8439849624060151,0.8459260251943178,0.008080041713038574,52
65,0.009234428405761719,0.00029501113815983787,0.008228397369384766,0.0001417370359593139,gini,66,"{'criterion': 'gini', 'max_depth': 66}",0.8255159474671669,0.8552631578947367,0.849624060150376,0.8383458646616542,0.8402255639097744,0.8417949188167416,0.010218147341598446,144
66,0.009511041641235351,0.00047879003692027103,0.008144617080688477,0.0001815438110099313,gini,67,"{'criterion': 'gini', 'max_depth': 67}",0.8292682926829268,0.8590225563909775,0.8515037593984961,0.8364661654135339,0.8402255639097744,0.8432972675591417,0.010654038418034558,134
67,0.00900096893310547,7.453979098562372e-05,0.008378028869628906,0.00037460246421082134,gini,68,"{'criterion': 'gini', 'max_depth': 68}",0.8273921200750468,0.8609022556390977,0.8533834586466166,0.8402255639097744,0.8402255639097744,0.8444257924360621,0.01163738335768994,101
68,0.009201669692993164,0.0006469968209837106,0.008274173736572266,0.0003395582346857395,gini,69,"{'criterion': 'gini', 'max_depth': 69}",0.8330206378986866,0.8609022556390977,0.8515037593984961,0.8364661654135339,0.8402255639097744,0.8444236764519177,0.01032130384832815,108
69,0.009120702743530273,0.0004078854013873568,0.008237695693969727,0.0002726292255612824,gini,70,"{'criterion': 'gini', 'max_depth': 70}",0.8330206378986866,0.8609022556390977,0.849624060150376,0.8402255639097744,0.8421052631578947,0.8451755561511659,0.009474063801701174,76
70,0.009210824966430664,0.0002878960960336918,0.008224153518676757,0.0002677285273961807,gini,71,"{'criterion': 'gini', 'max_depth': 71}",0.8367729831144465,0.8590225563909775,0.8515037593984961,0.8402255639097744,0.8421052631578947,0.8459260251943178,0.008167030169516767,52
71,0.009538888931274414,0.0005680116772798621,0.00844883918762207,0.0004492630042689165,gini,72,"{'criterion': 'gini', 'max_depth': 72}",0.8255159474671669,0.8627819548872181,0.849624060150376,0.8383458646616542,0.8421052631578947,0.8436746180648619,0.012337600958887153,124
72,0.010640907287597656,0.002655818561725117,0.01125040054321289,0.003292376386033025,gini,73,"{'criterion': 'gini', 'max_depth': 73}",0.8330206378986866,0.8609022556390977,0.8515037593984961,0.8383458646616542,0.8402255639097744,0.8447996163015418,0.01005542367110165,94
73,0.01152338981628418,0.0029555327209689077,0.008277034759521485,0.00013988167376880828,gini,74,"{'criterion': 'gini', 'max_depth': 74}",0.8311444652908068,0.8571428571428571,0.8515037593984961,0.8383458646616542,0.8421052631578947,0.8440484419303417,0.009272037668920746,120
74,0.009150218963623048,8.161014678741012e-05,0.00820174217224121,8.143739317874019e-05,gini,75,"{'criterion': 'gini', 'max_depth': 75}",0.8311444652908068,0.8571428571428571,0.8515037593984961,0.8402255639097744,0.8421052631578947,0.8444243817799657,0.009069087800562236,105
